Label,Topic,Claim original text,Claim corrected version,,,,,,,,
0,This house believes that the sale of violent video games to minors should be banned,violent games cause youth violence,violent games cause youth violence,,,,,,,,
0,This house believes that the sale of violent video games to minors should be banned,A high degree of relationship between violent games and youth violence has been indicated,a high degree of relationship between violent games and youth violence,,,,,,,,
0,This house believes that the sale of violent video games to minors should be banned,video game violence leads to youth violence,video game violence leads to youth violence,,,,,,,,
0,This house believes that the sale of violent video games to minors should be banned,Video game content is a form of freedom of expression,video game content was a form of freedom of expression,,,,,,,,
0,This house believes that the sale of violent video games to minors should be banned,there is social utility in expressive and imaginative forms of entertainment, even if they contain violence,there is social utility in expressive and imaginative forms of entertainment, even if they contain violence,,,,,,
0,This house believes that the sale of violent video games to minors should be banned,There are tangible benefits to violence in games,there are tangible benefits to violence in action games,,,,,,,,
0,This house believes that the sale of violent video games to minors should be banned,children may imitate aggressive behaviors witnessed in media,children may imitate aggressive behaviors witnessed in media,,,,,,,,
0,This house believes that the sale of violent video games to minors should be banned,children don't automatically imitate aggression, but rather consider the context of aggression,children don't automatically imitate aggression, but rather consider the context of aggression,,,,,,
0,This house believes that the sale of violent video games to minors should be banned,societal media consumption and violent crime rates are not well associated,societal media consumption and violent crime rates are not well associated,,,,,,,,
0,This house believes that the sale of violent video games to minors should be banned,Various games are accused of causing addiction and even violent behavior,Various games have been accused of causing addiction and even violent behavior,,,,,,,,
0,This house believes that the sale of violent video games to minors should be banned,Violent video games are influencing children's view about violence,violent video games are influencing their children's view about violence,,,,,,,,
0,This house believes that the sale of violent video games to minors should be banned,Video games are protected speech under the First Amendment,video games were protected speech under the First Amendment,,,,,,,,
0,This house believes that the sale of violent video games to minors should be banned,There is a connection between video games and violence,there was a connection between video games and violence,,,,,,,,
0,This house believes that the sale of violent video games to minors should be banned,content-based regulations are presumptively invalid,content-based regulations are presumptively invalid,,,,,,,,
0,This house believes that the sale of violent video games to minors should be banned,No evidence links video games to youth violence,no evidence linked video games to youth violence,,,,,,,,
0,This house believes that the sale of violent video games to minors should be banned,There is no compelling link between violent video games and its effects on children,"there was no ""compelling"" link between violent video games and its effects on children",,,,,,,,
0,This house believes that the sale of violent video games to minors should be banned,content-based restrictions on games are unconstitutional,content-based restrictions on games are unconstitutional,,,,,,,,
0,This house believes that the sale of violent video games to minors should be banned,parents, not government bureaucrats, have the right to decide what is appropriate for their children,parents, not government bureaucrats, have the right to decide what is appropriate for their children,,,,
0,This house believes that the sale of violent video games to minors should be banned,states should have the “right to regulate the sale of video games [that are violent] in order to protect minors,states should have the “right to regulate the sale of video games [that are violent] in order to protect minors,,,,,,,,
0,This house believes that the sale of violent video games to minors should be banned,parents should make the decision” about what video games they purchase for their children, and what constitutes “too violent,parents should make the decision” about what video games they purchase for their children, and what constitutes “too violent,,,,,,
0,This house believes that the sale of violent video games to minors should be banned,states do not have the right to decide that some video games are too violent for [minors,states do not have the right to decide that some video games are too violent for [minors,,,,,,,,
0,This house believes that the sale of violent video games to minors should be banned,Not all depictions of violence are bad to witness,not all depictions of violence are even bad to witness,,,,,,,,
0,This house believes that the sale of violent video games to minors should be banned,There is no connection between exposure to media violence and real life violence,no connection between exposure to media violence and real life violence,,,,,,,,
0,This house believes that the sale of violent video games to minors should be banned,heavy exposure to media violence can lead to more aggressive behavior,heavy exposure to media violence can lead to more aggressive behavior,,,,,,,,
0,This house believes that the sale of violent video games to minors should be banned,Exposure alone to media violence does not cause a child to commit crimes,exposure alone does not cause a child to commit crimes,,,,,,,,
0,This house believes that the sale of violent video games to minors should be banned,there is no convincing evidence that prove that media violence cause violent crime or any type of real life violence,there is no convincing evidence that prove that media violence cause violent crime or any type of real life violence,,,,,,,,
0,This house believes that the sale of violent video games to minors should be banned,Violent video games - especially first-person shooter games - encourages real-life acts of violence in teenagers,violent video games—especially first-person shooter games—encouraged real-life acts of violence in teenagers,,,,,,,,
0,This house believes that the sale of violent video games to minors should be banned,video games allow children to act out crimes,video games allow children to act out crimes,,,,,,,,
0,This house believes that the sale of violent video games to minors should be banned,violence in video games is not causally linked with aggressive tendencies,violence in video games is not causally linked with aggressive tendencies,,,,,,,,
0,This house believes that the sale of violent video games to minors should be banned,Correlations between violent gameplay and some comming childhood problems were found,correlations between violent gameplay and some common childhood problems,,,,,,,,
0,This house believes that the sale of violent video games to minors should be banned,most children who play violent games do not have problems,most children who play violent games do not have problems,,,,,,,,
0,This house believes that the sale of violent video games to minors should be banned,Many creative, social and emotional benefits from video game play have been documented - even games with violent content,many creative, social and emotional benefits from video game play—even games with violent content,,,,,,
0,This house believes that the sale of violent video games to minors should be banned,exposure to graphic violence leads to desensitization to committing acts of violence in person,exposure to graphic violence leads to desensitization to committing acts of violence in person,,,,,,,,
0,This house believes that the sale of violent video games to minors should be banned,violence in games hardens children to unethical acts,violence in games hardens children to unethical acts,,,,,,,,
0,This house believes that the sale of violent video games to minors should be banned,Exposure to violent video games[REF] is related to increased aggressiveness in children,violent video games[REF] is related to increased aggressiveness in children,,,,,,,,
0,This house believes that the sale of violent video games to minors should be banned,numerous researchers have proposed potential positive effects of video games,numerous researchers have proposed potential positive effects of video games,,,,,,,,
0,This house believes that the sale of violent video games to minors should be banned,computer games cause violence,computer games cause violence,,,,,,,,
0,This house believes that the sale of violent video games to minors should be banned,A correlation between violent content conveyed through media (including videogames) and violent or aggressive behavior has been shown,a correlation between violent content conveyed through media (including videogames) and violent or aggressive behavior,,,,,,,,
0,This house believes that the sale of violent video games to minors should be banned,Some serious psychological problems have been attributed to desensitization to violence in video games,Some serious psychological problems have been attributed to desensitization to violence in video games,,,,,,,,
0,This house believes that the sale of violent video games to minors should be banned,media violence may increase aggression,media violence may increase aggression,,,,,,,,
0,This house believes that the sale of violent video games to minors should be banned,Evidence for harmful effects of video game violence were inconclusive,evidence for harmful effects were inconclusive,,,,,,,,
0,This house supports the one-child policy of the republic of China,The policy is controversial both within and outside China because of the manner in which the policy has been implemented, and because of concerns about negative social consequences,The policy is controversial both within and outside China because of the manner in which the policy has been implemented, and because of concerns about negative social consequences,,,,,,
0,This house supports the one-child policy of the republic of China,The policy is a possible cause behind China's gender imbalance,possible cause behind China's gender imbalance,,,,,,,,
0,This house supports the one-child policy of the republic of China,The policy had proved remarkably effective,"it had proved ""remarkably effective",,,,,,,,
0,This house supports the one-child policy of the republic of China,The policy is considered as a great success in helping to implement China's current economic growth,great success in helping to implement China's current economic growth,,,,,,,,
0,This house supports the one-child policy of the republic of China,The reduction in the fertility rate and thus population growth has reduced the severity of problems that come with overpopulation,The reduction in the fertility rate and thus population growth has reduced the severity of problems that come with overpopulation,,,,,,,,
0,This house supports the one-child policy of the republic of China,the focus of China on population control helps provide a better health service for women,the focus of China on population control helps provide a better health service for women,,,,,,,,
0,This house supports the one-child policy of the republic of China,The individual savings rate has increased since the one-child policy was introduced,The individual savings rate has increased since the one-child policy was introduced,,,,,,,,
0,This house supports the one-child policy of the republic of China,less intrusive options, including those that emphasized delay and spacing of births, could have achieved the same results over an extended period of time,less intrusive options, including those that emphasized delay and spacing of births, could have achieved the same results over an extended period of time,,,,
0,This house supports the one-child policy of the republic of China,T]he policy itself is probably only partially responsible for the reduction in the total fertility rate,T]he policy itself is probably only partially responsible for the reduction in the total fertility rate,,,,,,,,
0,This house supports the one-child policy of the republic of China,China could have expected a continued reduction in its fertility rate just from continued economic development, had it kept to the previous policy,China could have expected a continued reduction in its fertility rate just from continued economic development, had it kept to the previous policy,,,,,,
0,This house supports the one-child policy of the republic of China,The one-child policy is challenged in principle and in practice for violating a human right to determine the size of one's own family,The one-child policy is challenged in principle and in practice for violating a human right to determine the size of one's own family,,,,,,,,
0,This house supports the one-child policy of the republic of China,The policy leaves the older generations with increased chances of dependency on retirement funds or charity in order to receive support,leaves the older generations with increased chances of dependency on retirement funds or charity in order to receive support,,,,,,,,
0,This house supports the one-child policy of the republic of China,If, for any reason, the single child is unable to care for their older adult relatives, the oldest generations would face a lack of resources and necessities,If, for any reason, the single child is unable to care for their older adult relatives, the oldest generations would face a lack of resources and necessities,,
0,This house supports the one-child policy of the republic of China,Some parents may over-indulge their only child,Some parents may over-indulge their only child,,,,,,,,
0,This house supports the one-child policy of the republic of China,The one child policy creates social problems and personality disorders in young people,social problems and personality disorders in young people,,,,,,,,
0,This house supports the one-child policy of the republic of China,The one-child limit is too extreme. It violates nature’s law,The one-child limit is too extreme. It violates nature’s law,,,,,,,,
0,This house supports the one-child policy of the republic of China,The social pressure exerted by the one-child policy has affected the rate at which parents abandon undesirable children,The social pressure exerted by the one-child policy has affected the rate at which parents abandon undesirable children,,,,,,,,
0,This house supports the one-child policy of the republic of China,China's family planning programs contribute to infanticide,China's family planning programs contribute to infanticide,,,,,,,,
0,This house supports the one-child policy of the republic of China,As a result of the one child policy, China successfully achieved its goal of a more stable and much-reduced fertility rate,As a result of the policy, China successfully achieved its goal of a more stable and much-reduced fertility rate,,,,,,
0,This house supports the one-child policy of the republic of China,Rapid population growth is seen as an obstacle to development,rapid population growth as an obstacle to development,,,,,,,,
0,This house supports the one-child policy of the republic of China,Population control is necessary for economic growth and improved living standards,population control was necessary for economic growth and improved living standards,,,,,,,,
0,This house supports the one-child policy of the republic of China,Coercive measures were used to achieve the desired results of the one-child policy,coercive measures used to achieve the desired results of the one-child policy,,,,,,,,
0,This house supports the one-child policy of the republic of China,Rapid fertility reduction associated with the one-child policy has potentially negative results,Rapid fertility reduction associated with the one-child policy has potentially negative results,,,,,,,,
0,This house supports the one-child policy of the republic of China,Population control involve measures that improve people's lives,population control can involve measures that improve people's lives,,,,,,,,
